date,price,supply,capital,trade,wiki
2017-07-08,2562.1306624999997,16435887.5,42110891329.15047,91133549.9590164,21337
2017-07-09,2536.2389375,16437612.5,41689712862.03671,56620250.183561996,22075
2017-07-10,2366.1701428571428,16440075.0,38900014611.33214,163706108.82153362,26029
2017-07-11,2369.8621285714285,16442237.5,38965835960.22696,184411999.56184912,27965
2017-07-12,2385.7485714285717,16444450.0,39232323095.42857,153172924.85336658,27322
2017-07-13,2354.7834166666667,16446412.5,38727739418.65938,106346343.51029706,28320
2017-07-14,2190.947833333333,16448150.0,36037038604.84167,133121604.15202287,24585
2017-07-15,2058.9955999999997,16449737.5,33869937133.654995,205297978.82580423,20377
2017-07-16,1931.2143,16451775.0,31771903140.3825,152530374.28804657,20854
2017-07-17,2176.6234875,16453625.0,35813346629.51719,242313696.00736725,24527
2017-07-18,2320.12225,16455687.5,38179206707.796875,262461203.84922445,29243
2017-07-19,2264.7657,16457550.0,37272494746.034996,186988238.2237867,31101
2017-07-20,2898.1884166666664,16459575.0,47702949608.25625,281540460.6510425,32662
2017-07-21,2682.1953625,16461500.0,44152958959.793755,384806565.89971805,26503
2017-07-22,2807.609857142857,16463500.0,46223084883.07143,215642445.09162393,23406
2017-07-23,2725.549716666667,16465650.0,44877947692.232506,169964412.20341045,28733
2017-07-24,2751.821028571429,16467875.0,45316644720.88572,139976350.7537848,28648
2017-07-25,2560.9979166666667,16469725.0,42178931413.072914,288015952.52724457,26829
2017-07-26,2495.028585714286,16471562.5,41097019288.87946,176626997.82260647,27343
2017-07-27,2647.625,16473487.5,43615617342.1875,146490393.91523167,27907
2017-07-28,2781.636583333333,16475362.5,45828471053.678116,232077673.06113806,24242
2017-07-29,2722.512785714286,16477325.0,44859727986.86965,127294021.51886895,21545
2017-07-30,2745.955416666666,16479162.5,45251045529.0052,152859034.1212597,35070
2017-07-31,2866.431666666667,16480975.0,47241588637.54167,127009234.07663846,24947
2017-08-01,2710.4130666666665,16482837.5,44675298135.74333,214878001.37883702,53066
2017-08-02,2693.6339833333336,16484737.5,44403849136.32938,117440138.30737165,77020
2017-08-03,2794.117716666666,16486462.5,46065116956.410614,113131475.0368071,31439
2017-08-04,2873.8510833333335,16488700.0,47386068357.75834,106217903.3954463,24554
2017-08-05,3218.1150166666666,16490912.5,53069653154.78604,344352179.13661176,26393
2017-08-06,3252.5625333333332,16492662.5,53643416122.41167,122798187.41230571,26523
2017-08-07,3407.2268333333336,16494575.0,56200758544.42917,198345493.0300774,34664
2017-08-08,3457.374333333333,16496625.0,57035007861.625,241759565.088791,41798
2017-08-09,3357.326316666667,16498350.0,55390344636.57751,199170113.9757855,37017
2017-08-10,3424.4042000000004,16500025.0,56502754910.105,153824056.618621,34824
2017-08-11,3632.5066666666667,16501825.0,59942989324.666664,195208159.0426822,32144
2017-08-12,3852.8029142857145,16503512.5,63584781055.950714,332122906.1376139,29789
2017-08-13,4125.54802,16505362.5,68093665581.257256,381628414.1546703,38392
2017-08-14,4282.992,16506987.5,70699295406.6,168021272.43739656,52910
2017-08-15,4217.028328571429,16508887.5,69618446260.69875,592573698.1099374,48514
2017-08-16,4360.876871428572,16510512.5,72000312096.68233,341988374.47941643,41717
